etf_ticker,note
NDIV,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NEQT,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NGPE,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NGRW,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NHYB,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NINT,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NINV,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NINV.F,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NMBL,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NMEQ,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NMGR,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NMMO,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NPRF,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
NBSC.F,"NBI publishes Top-10 holdings only, no CSV; 10 rows captured as of 2026-08-31, partial (no holding tickers)"
TBAL,"TD page shows Top Ten only (page list); 5 rows captured 2026-03-31, partial"
TBCF,"TD full list 18 rows 2026-03-31, complete (page modal + PDF)"
TBCG,"TD full list 37 rows 2026-03-31, complete"
TBCH,"TD full list 26 rows 2026-03-31, complete"
TBCI,"TD full list 22 rows 2026-03-31, complete"
TBCJ,"TD full list 34 rows 2026-03-31, complete"
TBNK,"TD page shows Top Ten only (6 banks + cash); 7 rows 2026-03-31, partial"
TBUF.U,"TD full list 13 rows 2026-03-31, complete; matures Nov 23 2026 per TDAM, still active"
TBUG.U,"TD full list 18 rows 2026-03-31, complete"
TCLB,"TD full list 11 rows 2026-03-31, complete"
TCLV,"TD full list 58 rows 2026-03-31, complete"
TCON,"TD page shows Top Ten only; 5 rows 2026-03-31, partial"
TDNA,"TD ETF Series page shows top ten only; 8 rows captured 2026-03-31 (2 rows had no weights shown, excluded), partial"
BAAA,"Brompton publishes Top-25 holdings only (no download); 25 rows total 86.6% as of 2026-08-31, partial"
BAAA.U,"Brompton: USD unit class of BAAA, same portfolio verified; 25 rows total 86.6%, partial"
BBBB,"Brompton Top-25 only; 25 rows total 98.6% as of 2026-08-31, partial"
BBBB.U,"Brompton: USD unit class of BBBB, same portfolio; 25 rows total 98.6%, partial"
BDIV,"Brompton Top-25 only; 25 rows total 76.2%, partial"
BEPR,"Brompton Top-25 only; 25 rows total 43.4%, partial"
BEPR.U,"Brompton: USD unit class of BEPR, same portfolio; 25 rows total 43.4%, partial"
BFIN,Brompton full portfolio 21 rows totaling 100.6% incl cash; complete
BFIN.U,"Brompton: USD unit class of BFIN, same portfolio verified; complete"
BGIE,"Brompton Top-25 only; 25 rows total 95.9%, partial"
BLOV,"Brompton Top-25 only; 25 rows total 95.7%, partial"
BMAX,Brompton full portfolio: 10 underlying Brompton ETFs totaling 100%; complete
BPRF,"Brompton Top-25 only; 25 rows total 42.5%, partial"
BPRF.U,"Brompton: USD unit class of BPRF, same portfolio; 25 rows total 42.5%, partial"
CLSA,Brompton full portfolio 14 rows totaling 100.0% incl cash/other; complete
EDGF,"Brompton Top-25 only; 25 rows total 92.7%, partial"
HIG,"Brompton Top-25 only; 25 rows total 96.7%, partial"
HIG.U,"Brompton: USD unit class of HIG, same portfolio; 25 rows total 96.7%, partial"
KNGC,"Brompton Top-25 only; 25 rows total 91.0%, partial"
KNGG,Brompton full portfolio: 3 underlying Cash Flow Kings ETFs + cash totaling 100.1%; complete
KNGU,"Brompton Top-25 only; 25 rows total 75.5%, partial"
KNGX,"Brompton Top-25 only; 25 rows total 75.6%, partial"
PAYB,"Brompton: COMING SOON listing, not yet launched; no holdings"
PAYT,"Brompton: COMING SOON listing, not yet launched; no holdings"
PAYG,"Brompton full portfolio 21 rows; leveraged, gross long ~126% with Other net assets -26.4%, NAV reconciles 99.9%; complete"
PAYI,"Brompton full portfolio 17 rows; leveraged, gross long ~127% with Other net assets -27.4%, NAV reconciles 100.0%; complete"
PAYU,"Brompton full portfolio 22 rows; leveraged, gross long ~129% with Other net assets -28.6%, NAV reconciles 100.0%; complete"
SPLT,Brompton full portfolio 24 rows incl cash/other; complete
SPLT.U,"Brompton: USD unit class of SPLT, same portfolio; complete"
TLF,"Brompton Top-25 only; 25 rows total 99.2%, partial"
TLF.U,"Brompton: USD unit class of TLF, same portfolio; 25 rows total 99.2%, partial"
AAPU,LongPoint page-table extraction (no download offered); top-N only where noted
ABXU,LongPoint page-table extraction (no download offered); top-N only where noted
ALPU,LongPoint page-table extraction (no download offered); top-N only where noted
AMZU,LongPoint page-table extraction (no download offered); top-N only where noted
BNKU,"LongPoint: 6 bank holdings sum 100.03% (2026-09-03); site shows first row ticker TD paired with name Bank of Nova Scotia (apparent site data error, transcribed verbatim)"
CCOU,LongPoint page-table extraction (no download offered); top-N only where noted
CGMD,"LongPoint top-10 only (sum ~77.5%, 2026-06-30), partial"
CGMU,"LongPoint top-10 only (sum ~77.5%, 2026-06-30), partial"
CNQU,LongPoint page-table extraction (no download offered); top-N only where noted
COID,LongPoint page-table extraction (no download offered); top-N only where noted
COIU,LongPoint page-table extraction (no download offered); top-N only where noted
COMU,LongPoint page-table extraction (no download offered); top-N only where noted
CSUU,LongPoint page-table extraction (no download offered); top-N only where noted
FORU,LongPoint full: 3 underlying ETFs totaling 100.01% (2026-09-08); complete
GASD,LongPoint page-table extraction (no download offered); top-N only where noted
GASU,LongPoint page-table extraction (no download offered); top-N only where noted
HBDV,"LongPoint top-10 names+tickers but NO weights published; 10 rows, quantity/yield-only"
HBOP,"LongPoint top-10 names+tickers but NO weights published; 10 rows, quantity/yield-only"
HBTA,"LongPoint top-10 names+tickers but NO weights published; 10 rows, quantity/yield-only"
MOAT,LongPoint top-10 put options with weights (by exposure); partial
MSFU,LongPoint page-table extraction (no download offered); top-N only where noted
MSTU,LongPoint page-table extraction (no download offered); top-N only where noted
MSTZ,LongPoint page-table extraction (no download offered); top-N only where noted
NBCU,LongPoint page-table extraction (no download offered); top-N only where noted
NVDD,LongPoint page-table extraction (no download offered); top-N only where noted
NVDU,LongPoint page-table extraction (no download offered); top-N only where noted
OILD,LongPoint page-table extraction (no download offered); top-N only where noted
OILU,LongPoint page-table extraction (no download offered); top-N only where noted
QQQD,"LongPoint top-10 only (sum ~46.3%, 2026-08-31), partial"
QQQU,"LongPoint top-10 only (sum ~46.3%, 2026-08-31), partial"
RBCU,LongPoint page-table extraction (no download offered); top-N only where noted
RGBM,"LongPoint top-10 with Long/Short column (site): Long CNM6/JBM6/VT/CTB/ADM6/BPM6, Short CDM6/RXM6/SFM6/NVM6; weights are gross exposures, partial"
RGBM.U,"LongPoint: USD shares of RGBM, identical top-10; partial"
SHPD,LongPoint page-table extraction (no download offered); top-N only where noted
SHPU,LongPoint page-table extraction (no download offered); top-N only where noted
SOXD,"LongPoint top-10 only (sum ~66.7%, 2026-06-30), partial"
SOXU,"LongPoint top-10 only (sum ~66.7%, 2026-06-30), partial"
SPYD,"LongPoint top-10 only (sum ~37.8%, 2026-08-31), partial"
SPYU,"LongPoint top-10 only (sum ~37.8%, 2026-08-31), partial"
TCCA,"LongPoint top-10 of ~50 (2026-08-21), partial"
TCEU,"LongPoint top-10 of ~50 (2026-08-21), partial"
TCUS,"LongPoint top-10 of ~50 (2026-08-21), partial"
TCWW,"LongPoint top-10 of ~50 (2026-08-21), partial"
TDU,LongPoint page-table extraction (no download offered); top-N only where noted
TSLD,LongPoint page-table extraction (no download offered); top-N only where noted
TSLU,LongPoint page-table extraction (no download offered); top-N only where noted
AMDU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
METU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
MUU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
ORBU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
PLTU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
RBNU,LongPoint: page states Holdings currently not available for this product (2026-09-16); issuer does not publish holdings
ABHI,"Ninepoint: single-stock HighShares (Barrick Mining Corp); weight undisclosed, no download"
BCHI,"Ninepoint: single-stock HighShares (BCE Inc.); weight undisclosed, no download"
CCHI,"Ninepoint: single-stock HighShares (Cameco Corp.); weight undisclosed, no download"
CLHI,"Ninepoint: single-stock HighShares (Celestica Inc.); weight undisclosed, no download"
CQHI,"Ninepoint: single-stock HighShares (Canadian Natural Resources Ltd.); weight undisclosed, no download"
CRHI,"Ninepoint: single-stock HighShares (Canadian National Railway Co.); weight undisclosed, no download"
CSHI,"Ninepoint: single-stock HighShares (Constellation Software Inc.); weight undisclosed, no download"
CSUC,"Ninepoint: single-stock CoreShares (Constellation Software Inc.); weight undisclosed, no download"
ENHI,"Ninepoint: single-stock HighShares (Enbridge Inc.); weight undisclosed, no download"
GOHI,"Ninepoint: single-stock HighShares (Alphabet Inc.); weight undisclosed, no download"
INHI,"Ninepoint: single-stock HighShares (Intel Corporation); weight undisclosed, no download"
KGHI,"Ninepoint: single-stock HighShares (Kinross Gold Corporation); weight undisclosed, no download"
NVHI,"Ninepoint: single-stock HighShares (NVIDIA Corporation); weight undisclosed, no download"
PLHI,"Ninepoint: single-stock HighShares (Palantir Technologies Inc.); weight undisclosed, no download"
SHHI,"Ninepoint: single-stock HighShares (Shopify Inc.); weight undisclosed, no download"
SUHI,"Ninepoint: single-stock HighShares (Suncor Energy Inc.); weight undisclosed, no download"
SXHI,"Ninepoint: single-stock HighShares (SpaceX via SPCX); weight undisclosed, no download"
TDHI,"Ninepoint: single-stock HighShares (Toronto-Dominion Bank); weight undisclosed, no download"
TSHI,"Ninepoint: single-stock HighShares (Tesla Inc.); weight undisclosed, no download"
RYHI,Ninepoint: RY 128.8% + covered calls 48.3% (leveraged); page date 7/31/2025 precedes fund inception 8/22/2025 - site data quirk
ECHI,Ninepoint: fund-of-HighShares ETFs; 13 look-through constituents totaling 123.1% incl options/cash offsets; complete
USHI,Ninepoint: full 25-holding portfolio table totaling 100.0% (2026-09-14); complete
GBSL,"Ninepoint top-10 only (2026-08-31); names+weights, partial"
GBSL.U,"Ninepoint: USD series of GBSL, same top-10; partial"
GBUL,Ninepoint: Gold Bullion 99.29% + Cash 0.71% (2026-08-31); complete
GLDE,"Ninepoint top-10 names only, no weights; partial"
INFR,"Ninepoint top-10 names only, no weights; partial"
NACO,"Ninepoint top-10 bond names only, no weights; partial"
NBAL,Ninepoint: top-10 equities (names only) + 9 underlying funds with weights (sums ~83%); partial
NBND,"Ninepoint top-10 bond names only, no weights; partial"
NMNG,"Ninepoint top-10 names only, no weights; partial"
NNRG,"Ninepoint top-10 names only, no weights; partial"
NNRG.U,"Ninepoint: USD series of NNRG, same top-10 names; partial"
NRGI,"Ninepoint top-10 names only, no weights; partial"
NSAV,"Ninepoint top-10 bond names only, no weights; partial"
SBUL,Ninepoint: Silver Bullion 99.34% + Cash 0.66% (2026-08-31); complete
TIF,Ninepoint: top-10 bonds (names only) + 13 notional put positions with weights (sum 73.1%); partial
TKN,"Ninepoint top-10 names only, no weights; partial"
TKN.U,"Ninepoint: USD series of TKN, same top-10 names; partial"
DACL,Desjardins: new fund (inception 2026-07-07); complete-list CSV contains 0 holdings as of 2026-09-18 - not yet published
DACU,Desjardins: new fund; complete-list CSV contains 0 holdings as of 2026-09-18 - not yet published
DAGL,Desjardins: new fund; complete-list CSV contains 0 holdings as of 2026-09-18 - not yet published
DGGB,Desjardins: new fund; complete-list CSV contains 0 holdings as of 2026-09-18 - not yet published
DUIG,Desjardins: new fund; complete-list CSV contains 0 holdings as of 2026-09-18 - not yet published
DGLM,Desjardins complete-list CSV: 16 rows parsed (page showed 12) as of 2026-09-17; complete
DRFE,Desjardins complete-list CSV: 199 rows (page showed 202) as of 2026-06-30; complete
DRFG,Desjardins complete-list CSV: 329 rows (page showed 331) as of 2026-06-30; complete
DRME,Desjardins complete-list CSV: 590 rows (page showed 592) as of 2026-06-30; complete
DCP,Desjardins complete-list CSV: 97 rows (page showed 100; 3 exact-duplicate rows skipped) as of 2026-09-17; complete
DAMG,"Desjardins complete-list CSV from issuer (no holding tickers published); complete (13 rows incl T-bills/currency, 2026-06-30)"
DAMG.U,"Desjardins: USD class of DAMG, same 13 holdings; complete"
DANC,Desjardins: 177-row long/short pair list (2026-06-30); complete
DANC.U,"Desjardins: USD class of DANC, same 177 holdings; complete"
DCBC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DCC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DCG,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DCS,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DCU,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMEC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMEE,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMEI,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMEU,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMID,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DMQC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRCU,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRFC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRFD,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRFU,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRMC,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRMD,Desjardins complete-list CSV from issuer (no holding tickers published); complete
DRMU,Desjardins complete-list CSV from issuer (no holding tickers published); complete
CIBC-58,"CIBC daily holdings XLSX 2026-09-17: 58 ETFs, complete sheets; file carries no holding tickers"
CCBA,"CIBC: active fund (inception 2026-06-10), absent from daily holdings file; cibc.com publishes no holdings - not yet published"
CCGP,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CCIP,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CCUL,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CCUS,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CFLX,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CGLO,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CINT,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CQLI,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CSGE,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
CSTB,"CIBC: active fund, absent from daily holdings file; no holdings published - not yet published"
Franklin-25,"Franklin PortfolioHoldingDetails XLSX: 25 funds, full holdings (no holding tickers in files), as-of 2026-06-30/08-31/09-18; complete"
CBL,"Franklin: top-10 of 14 (2026-08-31); names only, no holding tickers; partial"
CNV,"Franklin: top-10 (2026-08-31); names only, no holding tickers; partial"
GRO,"Franklin: top-10 of 14 (2026-08-31); names only, no holding tickers; partial"
FCSI,Franklin: TERMINATED - merged into Franklin ClearBridge Sustainable International Growth Fund 2023-07-07
FGGE,Franklin: TERMINATED - merged into Franklin Global Growth Fund 2023-07-07
DXMC,Dynamic: full 10 of 10 holdings (new crypto ETF) but weights unavailable; quantity-only
DXCO,"Dynamic: top-10 only, weights incl shorts (2025-10-31); partial"
DXR,Dynamic: former Dynamic Active Retirement Income ETF merged into Dynamic Retirement Income Fund ETF series; top-10 (2025-10-31); partial
DXAU,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXB,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXBB,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXBC,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXBG,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXBU,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXC,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXCB,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXCP,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXDB,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXDU.U,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXEM,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXF,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXG,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXG.U,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial (USD units, same portfolio as DXG)"
DXGE,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXID,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXID.U,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial (USD units, same portfolio as DXID)"
DXIF,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXMO,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXN,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXO,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXP,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXQ,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXRE,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXU,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXU.U,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial (USD units, same portfolio as DXU)"
DXUS,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXUS.U,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial (USD units, same portfolio as DXUS)"
DXV,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXW,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
DXZ,"Dynamic: top-10 only (dynamic.ca publishes no downloads, no holding tickers); partial"
RBO,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RCD,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RCDC,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RDBH,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
